英文,中文,音标,例句
I,我,/,I'm a student.
you,你/你们,/,You are my friend.
he,他,/,He is my brother.
she,她,/,She is a teacher.
it,它,/,It is a book.
we,我们,/,We are students.
they,他们/她们/它们,/,They are my friends.
me,我（宾格）,/,Look at me.
my,我的,/,This is my book.
your,你的/你们的,/,What is your name?
his,他的,/,This is his car.
her,她的,/,Her name is Anna.
our,我们的,/,Our school is big.
their,他们的,/,Their house is white.
this,这,/,This is a pen.
that,那,/,That is a book.
be,是,/,I am a student.
have,有,/,I have a car.
do,做,/,I do my homework.
go,去,/,I go to school.
get,得到,/,I get a gift.
make,做/制造,/,I make a cake.
take,拿/带,/,I take a photo.
come,来,/,Please come here.
see,看见,/,I see a bird.
know,知道,/,I know the answer.
think,思考/觉得,/,I think so.
say,说,/,He says hello.
tell,告诉,/,Tell me a story.
give,给,/,Give me a book.
find,找到,/,I find my key.
want,想要,/,I want water.
use,使用,/,I use a computer.
work,工作,/,I work in an office.
call,叫/打电话,/,Call me later.
try,尝试,/,I try my best.
ask,问,/,Ask the teacher.
need,需要,/,I need help.
feel,感觉,/,I feel happy.
leave,离开,/,I leave home.
mean,意思是,/,What does it mean?
help,帮助,/,Help me, please.
start,开始,/,Let's start.
show,展示,/,Show me the way.
hear,听,/,I hear music.
play,玩/播放,/,I play football.
run,跑,/,I run fast.
live,住/生活,/,I live in China.
time,时间,/,What time is it?
year,年,/,Happy New Year.
people,人们,/,Many people are here.
way,方式/路,/,This is the way.
day,天,/,Have a nice day.
man,男人,/,He is a man.
woman,女人,/,She is a woman.
child,孩子,/,The child is happy.
world,世界,/,The world is big.
life,生活/生命,/,Life is beautiful.
home,家,/,I go home.
water,水,/,I drink water.
work,工作,/,I have work to do.
book,书,/,I read a book.
friend,朋友,/,You are my friend.
good,好的,/,It is good.
new,新的,/,A new car.
first,第一,/,The first day.
last,最后,/,The last time.
long,长的,/,A long time.
great,伟大的/很棒,/,That is great.
little,小的,/,A little bit.
big,大的,/,A big house.
small,小的,/,A small dog.
important,重要的,/,Very important.
easy,容易的,/,It is easy.
difficult,困难的,/,It is difficult.
happy,开心,/,I am happy.
sad,伤心,/,Don't be sad.
angry,生气,/,He is angry.
excited,兴奋,/,I am excited.
tired,累的,/,I am tired.
busy,忙的,/,I am busy.
not,不,/,I am not tired.
also,也,/,Me too / I also want.
very,很,/,Very good.
often,经常,/,I often read.
too,也/太,/,Me too.
just,仅仅/只是,/,Just do it.
now,现在,/,Do it now.
here,这里,/,I am here.
there,那里,/,It is there.
when,什么时候,/,When do you go?
where,哪里,/,Where are you?
why,为什么,/,Why not?
how,怎么,/,How are you?
what,什么,/,What is this?
because,因为,/,Because I love you.
so,所以,/,So I went home.
if,如果,/,If it rains...
although,虽然,/,Although tired...
hello,你好,/,Hello, how are you?
hi,嗨,/,Hi, nice to meet you.
goodbye,再见,/,Goodbye, see you.
thanks,谢谢,/,Thanks a lot.
please,请,/,Please help me.
sorry,抱歉,/,I am sorry.
yes,是,/,Yes, I do.
no,不,/,No, thank you.
excuse me,打扰一下/请问,/,Excuse me, where is...?
how are you,你好吗,/,How are you doing?
nice to meet you,很高兴认识你,/,Nice to meet you, too.
